## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value
## 2.0
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,
AIS32-0.1.5.1,"AIS32-0.1.5.1",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.2,"AIS32-0.1.5.2",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.3,"AIS32-0.1.5.3",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.4,"AIS32-0.1.5.4",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.5,"AIS32-0.1.5.5",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.6,"AIS32-0.1.5.6",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.7,"AIS32-0.1.5.7",false,"0",,,,,,,,false,false,"0"
AIS32-0.1.5.8,"AIS32-0.1.5.8",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.1,"AOS32-0.1.6.1",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.2,"AOS32-0.1.6.2",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.3,"AOS32-0.1.6.3",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.4,"AOS32-0.1.6.4",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.5,"AOS32-0.1.6.5",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.6,"AOS32-0.1.6.6",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.7,"AOS32-0.1.6.7",false,"0",,,,,,,,false,false,"0"
AOS32-0.1.6.8,"AOS32-0.1.6.8",false,"0",,,,,,,,false,false,"0"
SBR-001002,"Always Off Bit",false,"0",,,,,,,"always off",,,
SBR-001017,"Array out of range error",false,"0",,,,,,,"On if an array index is outside the range of the array",,,
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"average logic scan time",,,
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"average overall scan time",,,
SBR-001006,"Battery Disabled",false,"0",,,,,,,"On if the ""CPU Battery Alarm"" is disabled in H/W Configuration",,,
