## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIS32-0.1.5.1,"AIS32-0.1.5.1",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.1","AIS32",,false
AIS32-0.1.5.2,"AIS32-0.1.5.2",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.2","AIS32",,false
AIS32-0.1.5.3,"AIS32-0.1.5.3",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.3","AIS32",,false
AIS32-0.1.5.4,"AIS32-0.1.5.4",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.4","AIS32",,false
AIS32-0.1.5.5,"AIS32-0.1.5.5",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.5","AIS32",,false
AIS32-0.1.5.6,"AIS32-0.1.5.6",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.6","AIS32",,false
AIS32-0.1.5.7,"AIS32-0.1.5.7",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.7","AIS32",,false
AIS32-0.1.5.8,"AIS32-0.1.5.8",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.8","AIS32",,false
AOS32-0.1.6.1,"AOS32-0.1.6.1",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.1","AOS32",,false
AOS32-0.1.6.2,"AOS32-0.1.6.2",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.2","AOS32",,false
AOS32-0.1.6.3,"AOS32-0.1.6.3",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.3","AOS32",,false
AOS32-0.1.6.4,"AOS32-0.1.6.4",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.4","AOS32",,false
AOS32-0.1.6.5,"AOS32-0.1.6.5",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.5","AOS32",,false
AOS32-0.1.6.6,"AOS32-0.1.6.6",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.6","AOS32",,false
AOS32-0.1.6.7,"AOS32-0.1.6.7",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.7","AOS32",,false
AOS32-0.1.6.8,"AOS32-0.1.6.8",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.8","AOS32",,false
SBR-001002,"Always Off Bit",false,"0",,,,,,,"always off",,,,false,,"SBR",,false
SBR-001017,"Array out of range error",false,"0",,,,,,,"On if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"average logic scan time",,,,false,,"SWR",,false
